Usando dispositivo: cuda
Nome da GPU: NVIDIA GeForce MX150



Iniciando treinamento para estratégia 1 com 1 features...



Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 30, batch_size: 64, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 32, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 2, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.001, dropout_prob: 0.2, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.1, num_epochs: 50, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MSE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 30, loss_function: MAE
Iniciando treino com seq_length: 45, batch_size: 32, hidden_size: 64, num_layers: 3, lr: 0.002, dropout_prob: 0.2, num_epochs: 50, loss_function: MSE
